column,rank,value,count
totalTracks,14,2600,1000
totalTracks,15,1920,1000
totalTracks,16,1077,1000
totalTracks,17,2077,1000
totalTracks,18,4568,1000
totalTracks,19,4560,1000
totalTracks,20,1595,1000
totalTracks,21,4160,1000
totalTracks,22,2573,1000
totalTracks,23,2483,1000
totalTracks,24,1620,1000
totalTracks,25,1358,1000
totalTracks,26,1563,1000
totalTracks,27,1875,1000
totalTracks,28,4208,1000
totalTracks,29,2093,1000
totalTracks,30,2017,1000
totalTracks,31,1061,1000
totalTracks,32,2455,1000
totalTracks,33,2176,1000
totalTracks,34,1083,1000
totalTracks,35,1178,1000
totalTracks,36,3362,1000
totalTracks,37,1081,1000
totalTracks,38,1898,1000
totalTracks,39,1810,1000
totalTracks,40,8971,1000
totalTracks,41,3002,1000
totalTracks,42,1786,1000
totalTracks,43,4742,1000
totalTracks,44,1217,999
totalTracks,45,2308,999
totalTracks,46,1733,999
totalTracks,47,2580,999
totalTracks,48,1458,999
totalTracks,49,2344,999
totalTracks,50,3727,999
scrapedTrackCount,1,1000,40000
scrapedTrackCount,2,999,6993
scrapedTrackCount,3,998,4990
scrapedTrackCount,4,997,2991
scrapedTrackCount,5,50,2650
scrapedTrackCount,6,996,1992
scrapedTrackCount,7,990,1980
scrapedTrackCount,8,983,1966
scrapedTrackCount,9,423,1269
scrapedTrackCount,10,544,1088
scrapedTrackCount,11,357,1071
scrapedTrackCount,12,995,995
scrapedTrackCount,13,988,988
scrapedTrackCount,14,978,978
scrapedTrackCount,15,977,977
scrapedTrackCount,16,974,974
scrapedTrackCount,17,973,973
scrapedTrackCount,18,956,956
scrapedTrackCount,19,951,951
scrapedTrackCount,20,947,947
scrapedTrackCount,21,946,946
scrapedTrackCount,22,930,930
scrapedTrackCount,23,924,924
scrapedTrackCount,24,923,923
scrapedTrackCount,25,916,916
scrapedTrackCount,26,914,914
scrapedTrackCount,27,297,891
scrapedTrackCount,28,888,888
scrapedTrackCount,29,874,874
scrapedTrackCount,30,848,848
scrapedTrackCount,31,836,836
scrapedTrackCount,32,830,830
scrapedTrackCount,33,409,818
